column,dtype,non_null_count,missing_count,missing_rate,unique_count,mean,std,min,q1,median,q3,max
patient_id,int64,9254,0,0.0,9254,98329.5,2671.544,93703.0,96016.25,98329.5,100642.75,102956.0
gender,object,9254,0,0.0,2,,,,,,,
gender_code,float64,9254,0,0.0,2,1.5076,0.5,1.0,1.0,2.0,2.0,2.0
age_years,float64,8897,357,0.0386,80,35.7119,25.043,1.0,12.0,33.0,59.0,80.0
race_ethnicity_code,float64,9254,0,0.0,6,3.4972,1.701,1.0,3.0,3.0,4.0,7.0
family_income_poverty_ratio,float64,7932,1322,0.1429,444,2.4027,1.589,0.01,1.06,1.96,3.7325,5.0
weight_kg,float64,8580,674,0.0728,1405,65.1385,32.8908,3.2,43.1,67.75,85.6,242.6
height_cm,float64,8016,1238,0.1338,1033,156.5934,22.2579,78.3,151.4,161.9,171.2,197.7
bmi,float64,8005,1249,0.135,440,26.5775,8.2607,12.3,20.4,25.8,31.3,86.2
waist_cm,float64,7601,1653,0.1786,1035,89.9289,22.8051,40.0,73.9,91.2,105.3,169.5
systolic_bp_mean,float64,6717,2537,0.2742,227,121.685,20.3535,72.7,106.7,118.0,132.7,238.0
diastolic_bp_mean,float64,6636,2618,0.2829,172,69.5405,13.0645,8.0,61.3,70.0,77.3,135.3
pulse_rate,float64,6742,2512,0.2715,48,73.7499,12.3805,34.0,66.0,72.0,82.0,136.0
albumin_g_dl,float64,5905,3349,0.3619,31,4.0786,0.345,2.1,3.9,4.1,4.3,5.4
alkaline_phosphatase_u_l,float64,5903,3351,0.3621,323,90.6161,52.3927,16.0,64.0,79.0,98.0,638.0
ast_u_l,float64,5882,3372,0.3644,112,21.7605,12.9526,6.0,16.0,19.0,23.0,272.0
alt_u_l,float64,5902,3352,0.3622,131,21.4202,16.9494,2.0,12.0,17.0,25.0,420.0
blood_urea_nitrogen_mg_dl,float64,5901,3353,0.3623,60,14.6155,5.9843,2.0,11.0,14.0,17.0,79.0
creatinine_mg_dl,float64,5903,3351,0.3621,211,0.8752,0.4469,0.25,0.68,0.82,0.98,12.74
glucose_mg_dl,float64,5901,3353,0.3623,246,100.8776,34.8347,47.0,86.0,92.0,101.0,626.0
ggt_u_l,float64,5902,3352,0.3622,219,29.6894,42.677,2.0,13.0,19.0,30.0,1192.0
total_bilirubin_mg_dl,float64,5903,3351,0.3621,29,0.4605,0.2803,0.1,0.3,0.4,0.6,3.7
total_cholesterol_mg_dl,float64,5903,3351,0.3621,250,183.2417,41.2877,77.0,153.0,180.0,208.0,438.0
triglycerides_mg_dl,float64,5901,3353,0.3623,467,137.4376,109.1306,25.0,77.0,111.0,162.0,2923.0
uric_acid_mg_dl,float64,5901,3353,0.3623,102,5.4024,1.4809,0.8,4.3,5.3,6.3,15.1
white_blood_cell_1000_ul,float64,7528,1726,0.1865,149,7.3831,5.1063,1.9,5.8,7.0,8.5,400.0
red_blood_cell_million_ul,float64,7528,1726,0.1865,327,4.7337,0.48,2.32,4.42,4.71,5.03,7.84
hemoglobin_g_dl,float64,7528,1726,0.1865,118,13.7263,1.5108,6.4,12.8,13.7,14.7,19.9
hematocrit_percent,float64,7528,1726,0.1865,277,40.8496,4.1691,23.0,38.0,40.7,43.6,58.8
platelet_1000_ul,float64,7528,1726,0.1865,424,259.2501,70.6891,8.0,211.0,251.0,300.0,818.0
hba1c_percent,float64,6045,3209,0.3468,94,5.7696,1.0378,3.8,5.2,5.5,5.9,16.2
urine_albumin_ug_ml,float64,7632,1622,0.1753,1047,45.801,311.1692,0.21,4.9,9.3,18.4,14040.0
urine_creatinine_mg_dl,float64,7632,1622,0.1753,437,125.3575,84.7948,3.54,61.0,109.0,169.0,621.0
albumin_creatinine_ratio_mg_g,float64,7632,1622,0.1753,2849,42.8042,299.6947,0.27,5.23,8.28,15.88,11676.92
