column,missing_count,missing_rate,dtype
patient_id,0,0.0,Int64
SDDSRVYR,0,0.0,float64
RIDSTATR,0,0.0,float64
RIAGENDR,0,0.0,float64
RIDAGEYR,0,0.0,float64
RIDAGEMN,8657,0.9355,float64
RIDRETH1,0,0.0,float64
RIDRETH3,0,0.0,float64
RIDEXMON,550,0.0594,float64
RIDEXAGM,5821,0.629,float64
DMQMILIZ,3250,0.3512,float64
DMQADFC,8693,0.9394,float64
DMDBORN4,0,0.0,float64
DMDCITZN,3,0.0003,float64
DMDYRSUS,7306,0.7895,float64
DMDEDUC3,6948,0.7508,float64
DMDEDUC2,3685,0.3982,float64
DMDMARTL,3685,0.3982,float64
RIDEXPRG,8144,0.8801,float64
SIALANG,0,0.0,float64
SIAPROXY,0,0.0,float64
SIAINTRP,0,0.0,float64
FIALANG,474,0.0512,float64
FIAPROXY,474,0.0512,float64
FIAINTRP,474,0.0512,float64
MIALANG,2570,0.2777,float64
MIAPROXY,2570,0.2777,float64
MIAINTRP,2570,0.2777,float64
AIALANGA,4277,0.4622,float64
DMDHHSIZ,0,0.0,float64
DMDFMSIZ,0,0.0,float64
DMDHHSZA,0,0.0,float64
DMDHHSZB,0,0.0,float64
DMDHHSZE,0,0.0,float64
DMDHRGND,0,0.0,float64
DMDHRAGZ,0,0.0,float64
DMDHREDZ,490,0.053,float64
DMDHRMAZ,191,0.0206,float64
DMDHSEDZ,4503,0.4866,float64
WTINT2YR,0,0.0,float64
WTMEC2YR,0,0.0,float64
SDMVPSU,0,0.0,float64
SDMVSTRA,0,0.0,float64
INDHHIN2,491,0.0531,float64
INDFMIN2,474,0.0512,float64
INDFMPIR,1231,0.133,float64
BMDSTATS,550,0.0594,float64
BMXWT,674,0.0728,float64
BMIWT,8838,0.955,float64
BMXRECUM,8360,0.9034,float64
BMIRECUM,9230,0.9974,float64
BMXHEAD,9060,0.979,float64
BMIHEAD,9254,1.0,float64
BMXHT,1238,0.1338,float64
BMIHT,9155,0.9893,float64
BMXBMI,1249,0.135,float64
BMXLEG,2551,0.2757,float64
BMILEG,8920,0.9639,float64
